Sample,Sample_original_fastq,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,River_Portion,Biofilm,Habitat,Depth,Features
AS_DB1,AS_DR_1,2020-07-24T11:06:21.051-07:00,Sample,Water,DB,Arroyo_Seco,Arroyo_Seco_DB,Yes,34.203653,-118.166365,soft bottom,creek,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Basin/wash
AS_DB2,AS_DR_2,2020-07-24T11:15:43.979-07:00,Sample,Water,DB,Arroyo_Seco,Arroyo_Seco_DB,Yes,34.204167,-118.166287,soft bottom,creek,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
AS_PN1,AS_PN_1,2020-07-24T11:22:52.475-07:00,Sample,Water,PN,Arroyo_Seco,Arroyo_Seco_PN,Yes,34.204379,-118.166368,soft bottom,creek,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
AS_PN2,AS_PN_2,2020-07-24T11:29:03.875-07:00,Sample,Water,PN,Arroyo_Seco,Arroyo_Seco_PN,Yes,34.203614,-118.166314,soft bottom,creek,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0585_T9,K0585_T9,2020-07-24T11:47:48.882-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203154,-118.166402,soft bottom,creek,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0593_C3,K0593_C3,2020-07-24T12:14:43.757-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203274,-118.166417,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0594_E4,K0594_E4,2020-07-24T12:44:25.224-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.202987,-118.166335,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
K0595_B2,K0595_B2,2020-07-24T12:46:14.104-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203593,-118.166448,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0595_L7,K0595_L7,2020-07-24T12:50:11.009-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203567,-118.166415,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0595_T9,K0595_T9,2020-07-24T12:56:31.287-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.204139,-118.166314,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
