Sample,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,Biofilm,Habitat,Depth,Features
AS_DB1,2020-10-31T10:30:28-07:00,Sample,Water,DB,Arroyo_Seco,Arroyo_Seco_DB,Yes,34.203437,-118.166442,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
AS_DB2,2020-10-31T10:50:54-07:00,Sample,Water,DB,Arroyo_Seco,Arroyo_Seco_DB,Yes,34.203842,-118.166357,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
AS_PN1,2020-10-31T10:52:07.596-07:00,Sample,Water,PN,Arroyo_Seco,Arroyo_Seco_PN,Yes,34.203148,-118.166416,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Open water
AS_PN2,2020-10-31T11:09:34.619-07:00,Sample,Water,PN,Arroyo_Seco,Arroyo_Seco_PN,Yes,34.204008,-118.16637,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0561_A1,2020-10-31T11:11:21.937-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203237,-118.166493,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0561_B2,2020-10-31T11:12:46.102-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203294,-118.166374,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0561_C3,2020-10-31T11:13:00-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203539,-118.16648,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0561_G5,2020-10-31T11:19:17.818-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.204281,-118.166443,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0561_L7,2020-10-31T11:22:35.514-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203957,-118.16657,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0561_M8,2020-10-31T11:31:56.558-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203443,-118.16653,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0561_T9,2020-10-31T11:45:00.000-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.202959,-118.166506,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0566_M8,2020-10-31T11:45:00.000-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203802,-118.166414,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0562_C3,2020-11-26T09:26:08.268-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.107877,-118.246044,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Enclosed water Open water
K0562_K6,2020-11-26T09:32:01-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.108085,-118.246606,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Open water
