sum.taxonomy	R3_AS_DB1	R3_AS_DB2	R3_AS_PN1	R3_AS_PN2	R3_BC_DB1	R3_BC_DB2	R3_BC_PN1	R3_BC_PN2	R3_BP_DB1	R3_BP_DB2	R3_BP_PN1	R3_BP_PN2	R3_CC_DB1	R3_CC_DB2	R3_CC_PN1	R3_CC_PN2	R3_EV_DB1	R3_EV_DB2	R3_EV_PN1	R3_GL_DB1	R3_GL_DB2	R3_GL_PN1	R3_GL_PN2	R3_GN_DB1	R3_GN_DB2	R3_GN_PN1	R3_GN_PN2	R3_K0551_L7	R3_K0553_G5	R3_K0553_L7	R3_K0553_M8	R3_K0554_A1	R3_K0554_B2	R3_K0554_C3	R3_K0554_E4	R3_K0554_G5	R3_K0554_K6	R3_K0554_L7	R3_K0554_T9	R3_K0556_C3	R3_K0556_E4	R3_K0556_G5	R3_K0556_T9	R3_K0557_A1	R3_K0557_B2	R3_K0557_C3	R3_K0557_E4	R3_K0557_K6	R3_K0557_L7	R3_K0557_T9	R3_K0559_B2	R3_K0559_C3	R3_K0559_E4	R3_K0559_G5	R3_K0559_K6	R3_K0559_M8	R3_K0559_T9	R3_K0560_A1	R3_K0560_G5	R3_K0560_K6	R3_K0560_M8	R3_K0560_T9	R3_K0563_M8	R3_K0568_A1	R3_K0568_C3	R3_K0568_G5	R3_K0568_K6	R3_K0568_L7	R3_K0568_M8	R3_K0569_A1	R3_K0569_B2	R3_K0569_G5	R3_K0569_K6	R3_K0569_L7	R3_K0569_T9	R3_K0591_A1	R3_K0591_E4	R3_K0591_G5	R3_K0591_T9	R3_K0592_A1	R3_K0592_B2	R3_K0592_C3	R3_K0592_E4	R3_K0592_G5	R3_K0592_K6	R3_K0592_L7	R3_K0592_M8	R3_K0598_A1	R3_K0598_B2	R3_K0598_C3	R3_K0598_E4	R3_K0598_K6	R3_K0598_L7	R3_K0598_M8	R3_K0598_T9	R3_K0600_B2	R3_K0600_C3	R3_K0600_E4	R3_K0600_G5	R3_K0600_K6	R3_K0600_M8	R3_K0782_E4	R3_K0782_M8	R3_K0782_T9	R3_K0783_C3	R3_K0787_A1	R3_K0787_B2	R3_K0787_E4	R3_K0787_K6	R3_K0787_L7	R3_K0787_M8	R3_K0788_B2	R3_K0788_E4	R3_K0788_K6	R3_K0790_A1	R3_K0790_B2	R3_K0790_G5	R3_K0790_K6	R3_K0790_L7	R3_K0790_M8	R3_K0790_T9	R3_LB_DB1	R3_LB_DB2	R3_LB_PN1	R3_LB_PN2	R3_MW_DB1	R3_MW_DB2	R3_MW_PN1	R3_MW_PN2	R3_SD_DB1	R3_SD_DB2	R3_SD_PN1	R3_SD_PN2	R3_TW_DB1	R3_TW_DB2	R3_TW_PN1	R3_TW_PN2	R3_VW_DB1	R3_VW_DB2	R3_VW_PN1	R3_VW_PN2
Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;Marionina sp. 1 RV-2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	4340	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5647	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Almidae;Glyphidrilus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1246	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Hormogastridae;Hormogaster;Hormogaster samnitica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Lumbricidae;Aporrectodea;	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	159	1	0	0	0	0	105	0	0	139	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	44	0	0	0	0	155	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Lumbricidae;Aporrectodea;Aporrectodea caliginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	172	0	0	0	0	0	89	73	63	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
Eukaryota;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eiseniella;	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Lumbricidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Megascolecidae;NA;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	1	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
