Taxa	MeanSEDI	sdSEDI	MeanTSS	sdTSS	Substrate	Site	River_Bottom	Biofilm	Habitat	Depth	Features	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	grtgroup	soil pH in H20	soil organic carbon	soil sand	soil clay	soil bulk density	elevation	slope	aspect	gHM	NDVI	EVI	NBRT	greenness	landcover	impervious	percent_tree_cover	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12
Acanthamoeba palestinensis	0.603876179850649	0.264469935070615	0.278331966279335	0.321776951925609	7.7867149040502	17.5073660790717	6.10263583454067	7.82625684565812	30.958662108925	10.8223838112176	19.7016688541527	0.256514612648578	7.51729278094057	0.277974700296441	7.85782967738672	7.60901464459186	6.98078534388546	6.24837429214453	0.352477777777778	10.5793924513004	10.630992639969	0.243233409649832	7.81147926367038	6.99489870388761	0	0.579734143393586	7.14119142190505	5.82774581115409	7.02600775933575	7.61539956333625	0.28568041958042	3.62856831796021	2.11641892871763	10.876649905027	25.4334402432349	15.7217580542484	13.1696931705942	11.7039644418791	12.9145000689224	0.46564239380691	6.6475043189073	7.31096393952228	2.73438163548584	4.97414917760831	4.89504477392358	7.3313716025148	13.5651893311982	15.005644343148	2.64907358345444	3.6853209986533	4.87980340448152	4.25732713446123	6.00714559817711	6.16678940428516	6.05136645352286	5.63847323322228	2.82028851475513	0.707946809618917	9.16886044526783	9.70551942253836
Acanthamoeba sp.	0.356798763728436	0.0668107857402378	0.253805228540462	0.0500826238210381	37.726472869301	117.684006172155	55.0989086839968	43.5255262149913	50.7446009840994	30.7720784281693	97.6743657136569	7.26198477734759	8.91502952827168	4.18772650287316	8.87940355107705	9.50770951297393	8.31791242617648	10.7109183819399	7.72944653961721	10.5836491628128	10.3447401451965	7.10138858703847	10.3202850765716	9.55424876335218	1.09105818656903	5.5992034421313	10.0848971486436	5.33749413830804	6.51300255556603	10.2357121749291	4.95770811242858	22.2368992328265	11.6553074240636	50.6281248702036	38.9594209898664	33.3572257663073	47.6938454562992	70.4768470470095	66.823058577325	23.6652997552998	79.0108481886444	64.1775715251471	51.029324765844	75.486797287443	12.7848980237448	41.0419508219393	27.2873858878506	46.657370073867	44.4495730794198	45.4654560620072	48.1466930727703	62.4152271339241	62.571050345186	50.2346241796251	49.072243595766	47.3853329948767	61.0489900112499	21.2684440278644	87.4793753400716	78.7071796848069
Aeolosoma sp. GG-2011	0.16147557994416	0.171472913027562	0.0961843975126708	0.104223473366537	33.2735007605689	67.1482233869558	37.6396940779294	26.2790693996298	17.9875820622275	17.1701941750625	100.991559579401	6.17231776538629	10.2351339093255	3.51219073397283	12.8569021647857	6.89336838586293	11.6020385268661	12.425979292473	11.1650292001922	5.50996966755447	5.24000447534952	8.96182131161954	20.4520958475614	4.77329931037887	2.05014034589461	5.15996332659553	10.129901157205	2.67750394781973	4.92850437645455	8.50250612147496	4.26017778199646	18.3341085569398	8.29102331875886	21.9789205201184	20.8411651072266	15.364050579347	56.1351247462779	67.1025194222079	35.3093628326637	16.1160073936334	32.8987463820436	30.3391083804672	39.8105877169477	49.6600630406162	14.4274644292872	28.1027545003246	34.1869517966212	53.1426088843987	38.3273808862763	36.7361898253696	34.3937514371034	33.8086137029395	34.3952914080767	28.8887885728603	28.0501825258913	21.427134605395	34.6715954823427	17.7630813359786	31.9639219120126	33.5935634457138
Aphanomyces invadans	0.541950273776501	0.107948947223218	0.0941330599225336	0.189286022734109	13.0131392476804	4.04518789868433	0	0	0	13.5520561494061	8.50908353535354	7.15706018742196	8.79459284657385	9.25016558812642	8.19538997391925	8.04515676320317	8.39910134130348	8.94288732432002	8.64537012592523	8.57036251273286	0.13125641025641	8.57098575480835	7.99965301350324	7.74288118213953	0.188315873015873	0.120635497835498	7.9687430415773	0.0186388278388278	8.35401139166646	8.69136720500551	0.012	0.159137301587302	0.0746035762483131	3.31526425796426	3.55750755910756	2.17239252969253	9.81768642929843	8.91575283451383	11.6914051060051	7.93965929340955	11.5823700810339	11.9215060660328	6.67333364555276	17.3384749957734	0.0534071428571429	0.190926373626374	9.25583300020788	7.26033253698997	4.99943262743797	4.87063820328757	4.45629912828494	3.72682259407259	3.57501994671995	2.19667676231131	1.50604786555883	2.58636346402136	4.96595159335911	0.0514428799270904	3.72185175935176	3.90728339438339
Apolemia rubriversa	0.75158666437026	0.145883434882105	0.393051393051393	0.369046811522806	8.71323326869209	1.62363742490022	0.0406285714285714	0	0	9.24322951492952	5.4331112998113	4.54891913266192	4.48908042477037	4.3421494956401	4.94702992699688	4.37065757734121	4.25759043819458	5.04520268061201	4.78377085697262	4.95691467206796	0.210166666666667	3.90880823467672	4.42430333542688	5.68760078205088	0.11349898989899	0.136300865800866	5.21884884272192	0.20742012987013	4.62944873212416	4.46304476096725	0.0706666666666667	0.13665303030303	0.290881305536569	1.99600245310245	1.81651053391053	3.33846366966367	15.5901252148656	14.0772207171465	8.20526201459359	5.43660401854467	18.9381011388734	23.6245606120128	9.29009950352486	11.3793636511938	0.259937728937729	0.125314285714286	13.2376129308525	4.85137520215368	3.47844088603528	3.86934310470221	4.62271723515584	3.21607160104312	4.76103952713953	2.20526095156602	2.30534676434676	2.17756949632646	5.01785444666001	0.0945714285714286	4.88545899100899	2.71812152292152
Baetis adonis	0.760135342734756	0.0671920846271962	0.185207336523126	0.294392106282063	17.5843227332444	17.2151635326468	2.58977579502385	5.0002588976596	4.74310035805305	2.30028139472856	16.5105761375476	0.666304988487747	0.794961366711934	0.858347751684496	0.742203350242184	1.31660954414174	1.05362308653486	1.04266487879148	1.88087809919548	1.04601920881633	0.702046475213277	1.44241737684639	0.834875980773547	0.859857703222126	0.116859829059829	0.578176872016872	1.07665185821399	0.510053538722747	1.04131187484067	1.02851609169972	0.168499833499833	2.08697065736291	1.71583268087262	4.258204861868	2.41240998251335	3.36488540799768	10.6413331401078	38.9177554836039	5.12961958685904	2.33782752727708	10.804377188426	7.99082680795797	15.275430513944	10.0582726731834	2.64652359244698	21.3633087347477	2.80965622592188	12.83761052273	11.9403828873654	13.0642184817325	12.5161277117918	14.8307392554258	7.22970004185791	6.05308071442015	5.94820653124486	7.79191492422254	8.8507327167912	1.57921145523549	7.31414483113898	14.7441807477785
Beauveria bassiana	0.849500821186996	0.0539574335154241	0.693996810207337	0.302419811313225	4.09938026495784	18.8685499799287	3.55019490944785	7.91872737266886	7.95495644887057	3.94596214779373	35.2735366367182	0.686292203221615	7.65747619934007	0.274566690172573	7.17211969051348	7.91785198533647	9.00453541136405	7.91331602059289	0.457281220825958	8.10885254408614	8.40894722709892	0.0919677655677655	9.63017169343593	8.78795515207895	0	0.540977452612747	9.08517338107584	7.08546054995042	8.57431328886137	8.39840212348947	0.0928935064935065	2.52266600597992	14.3364326999753	4.22827986930771	35.8843611168126	35.8546123288561	20.8193397351943	3.14287918512111	4.84456390172858	0.228288224348751	8.55654808251604	5.96436731699673	2.29706443967797	9.17946310976605	2.81111439377616	5.00607824409453	2.31197060717061	6.84593453768454	4.68829178260393	4.21128778890994	7.54712118716074	5.65757498549804	8.78324729598394	7.88807588715975	7.49719442918398	7.93597112608753	3.81215103857495	0.196016305916306	4.72422771982919	4.96212174728771
Blumeria graminis	0.739246330756658	0.101706846525586	0.540601090768561	0.143962571966532	26.3054722161052	34.6131594646321	1.76740846507055	5.31109616437155	40.1471735359128	23.2328863242397	64.4241001819047	1.01725717911135	15.0650142888487	0.967024771365101	13.5483552813118	15.162699173708	13.9144719795342	14.7964297062651	0.94601981569639	14.1659893536013	17.3036720252135	0.66985490336753	12.6636631505402	12.4766385907826	0.283800268203942	1.37083932273562	14.553929252695	14.7145439768096	12.243738559381	13.5646907765187	1.30831096052301	13.5676974164352	8.12724245661266	8.61395299165934	43.5982791400446	18.6157634983305	21.6041047806205	9.27736492686718	20.1325794045981	0.975503248704802	8.10117168787323	6.3566908234335	4.07918138892995	7.11694054806234	5.23299603611966	7.93968336558436	14.4170678516014	5.75307840263077	9.15437072936673	7.34517470903413	8.01896388951392	9.67260038493356	6.87330588507646	7.5080936923816	7.49614317504684	7.31485358457105	3.62164861298818	1.09704143634144	7.85298582402769	10.2928240654046
Brachionus quadridentatus	0.497988876221767	0.0336756291250196	0.0967890179995443	0.117498297947376	4.86817398222692	23.8889591795753	0.263908972974269	6.49155141638715	7.37606810181308	7.50907230762125	5.28758451387151	1.30179871996827	1.32389019725885	0.970711413877958	1.67488189073608	1.51114674086932	1.06263275861209	1.21048741130585	2.68744842760237	1.70676829611315	0.838684128937443	1.45454607176474	1.00087054956626	0.821509328185648	0.195048296630905	1.07375701064307	2.93407326514207	0.279810531021311	1.17276674183013	2.37718067493746	3.70816427061538	10.9142892744203	3.18990231950197	5.60337493424623	10.8298369943714	3.88359204452975	4.25233498546935	1.48136224908011	12.1525719994246	13.5484639828576	6.58031007954663	6.40081529152491	13.8600079199413	3.44828342815046	5.77850227914627	4.70862757715224	5.75494545679345	2.61178190395195	5.54048928718299	11.7476638135704	16.8890118595229	23.9375270748175	21.027073965578	19.9386532152304	16.8236668228006	22.0329173918748	18.3336227184624	15.8977328393616	20.8814174710123	26.322033845498
Cairneyella variabilis	0.652688593329441	0.12710277483804	0.495281657871458	0.125076584249569	30.6227462882771	145.819631969688	9.6569169748307	37.9997113279662	67.0754210192329	35.5319975777857	129.698970889874	12.7153159397634	12.4806213923574	5.4575089739989	11.5898643323348	7.24159494226617	9.66074150920573	11.473893911637	10.4046966549299	7.70915872007963	8.79279617377021	6.555784939735	22.2560289734787	18.3825244362217	3.15956732091773	9.23047571143907	9.08173188860777	9.94191329855146	7.52407272527922	14.3281925278357	7.08746878983643	55.3353295206474	24.7913340969185	17.929267503117	41.1936824416765	32.4441131895488	43.0141756610603	55.3277211786017	100.388831582989	17.219125184677	39.8360111400039	34.1316330551175	20.7902277460053	28.2943156723689	12.0073080616733	35.4540883806182	16.0974633264406	24.2312889056095	20.9225929599844	17.3250047374234	20.9896481896975	26.3297488219294	34.8759701743136	29.4796177722157	30.107140192508	31.6033063950576	17.9671637861348	12.3940898441553	27.2818421120301	23.005716011833
