Taxa	MeanSEDI	sdSEDI	MeanTSS	sdTSS	Substrate	Site	River_Bottom	Biofilm	Habitat	Depth	Features	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	grtgroup	soil pH in H20	soil organic carbon	soil sand	soil clay	soil bulk density	elevation	slope	aspect	gHM	NDVI	EVI	NBRT	greenness	landcover	impervious	percent_tree_cover	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12
Alnus rhombifolia	0.555402701829913	0.210714691008257	0.228989898989899	0.277337085377993	1.77352658591294	23.2867259348251	1.82332173232463	0.266753554175293	0.178991831357049	1.4595334385017	24.2550241076273	2.68692760493606	5.55367260089024	2.1861009755121	5.37109575151179	4.06293556786475	3.90010229687485	4.59040128416901	2.76968452437983	4.74848113725872	2.52629918436145	2.76616846154041	4.99814353213508	4.64603637258553	0.109319554204661	1.2703431089727	4.10223867995019	0.222829787234043	2.44930611183959	5.37727864374984	2.3823628803048	1.35204547404547	2.28328888772014	0.975158605814989	0.569631154152662	3.49918968791375	5.21829782860409	4.69676126435609	2.92654294633315	9.10470052310369	23.280034556527	20.5599611671442	15.0070520636742	6.82204304406236	7.10165190694357	9.04225232158007	3.91958045018963	21.6986844230251	22.0632562496388	20.9079928045269	13.2548090693159	14.7228707157213	5.09955112555619	3.87447501924997	4.26300352562367	3.94938424911127	8.2053239568014	4.54514212348086	3.11224682613753	6.59165087988466
Anthemis cotula	0.740236410655374	0.070456001980504	0.223106060606061	0.315869971151665	4.01907133944487	17.8165412939261	3.62068065969119	13.4154524025689	11.9281853944545	5.02335521145521	11.29153949816	0.705032056832057	5.64612887964594	0.579787660550664	5.13360880411788	6.10655499875131	6.06830870791875	4.95619729526179	0.729425057295646	5.59514237129827	6.51556026908207	0.0805333333333333	4.85937670213183	5.58128156421226	0.00533333333333333	0.617760028860029	5.95195998634157	5.30561596095737	5.17715072711824	5.07747873467823	0.245692063492063	12.8252980412477	7.05632521391468	12.846990908061	27.3395212279072	21.2348982676476	8.16317584531008	4.27217918076018	9.15656530465531	0.636936507936508	4.39699290860825	3.9182102132984	1.7617855033855	4.07465115692533	2.60950283725936	4.79774189618559	4.80688673548674	4.61433542027079	3.58622949399213	4.74431676861041	4.48967094825272	4.22959043570808	5.17233429226488	4.85075843527891	4.45241883671884	4.34973454911	3.26248323898324	0.574767821067821	4.11816747141747	5.10350823945389
Baccharis salicifolia	0.263515683680946	0.161951725705008	0.0766260162601626	0.132140657749461	2.84126514861128	39.8475093298923	3.53469266985249	3.66660478999202	6.15796940090864	6.10525473477974	74.788981423041	9.00112977613293	4.05219181744004	1.48812787917263	6.62478016510971	4.00720363613083	4.10406332684321	4.3771464287611	4.71400666759234	4.63628241247212	2.73519148203373	4.59711715653278	11.2159762013527	5.19743527518712	1.29526671500317	6.98916711375419	6.11651437003584	2.17590335678993	3.1965144121626	4.097991108417	3.38896305397369	6.44404078475074	11.7371734718408	4.90911437912379	3.76329259760653	10.0329207758285	11.4028621150427	13.0047422487052	13.621579399148	9.39949322464791	19.6100122578607	21.2753926599931	17.2729019708385	14.1687103809673	17.2502141120201	23.633604231348	10.1187682886837	33.3920808875925	13.8074274595459	12.7157437186881	9.66374621822326	12.4985207919888	15.4934758527021	10.9888215981431	10.1423402879927	9.86917730454612	27.6977538911847	3.89838001107011	22.1811375265798	8.51089947913975
Carya illinoinensis	0.385377490078943	0.238809022381695	0.14127380277125	0.207868044976998	1.11940656383576	35.187602729298	10.9908682945872	2.6323455033875	3.57498322714158	6.76308588934228	26.4549123423918	1.69927738431504	2.34115576161711	0.961822861125802	3.85486622118227	2.58188503845898	3.22043831852541	3.17133397019857	1.94665302469792	2.16746325473688	2.8242000549808	2.1004484340828	3.9722214535441	3.24475989148675	0.126499567099567	1.86366157679602	3.44926735245842	0.318198641868693	0.923765794612036	3.80086259370841	4.26320816581617	1.8285417237952	0.376254775290069	2.4465492816665	1.34216434152238	6.28226389210075	7.69684610897119	15.7993396716925	19.5266218994661	4.36691556916878	16.4361505696137	18.5166772888302	8.57238659423604	12.2535642794718	6.14400791541726	19.4493111488737	13.5546422389213	21.6908246276427	21.7815186973072	22.1209294143589	18.6100629157531	24.4186807607298	17.9495014151083	12.1862920569444	11.3093699409622	12.0570962895886	11.5499401237551	5.72258037751488	8.8864561236783	12.1608068111141
Chaetopeltis orbicularis	0.886578287207907	0.0561179518691463	0.775009318531724	0.111273183299841	0.0295882667662063	35.2620913834969	7.13573860583861	1.20012309917867	1.93056598956599	1.4227577423944	3.5552651345366	5.02588420826334	25.8672801519583	21.2096383023432	21.5147138546091	22.1140988328076	24.5152160950938	26.9052270416827	22.9507463925664	23.5159679141768	22.6264289231956	24.2572385391513	2.48687249751306	3.81023293798102	1.31177604779921	7.0396427645037	2.37050275848119	2.46034231240541	3.63079866235405	3.22035848912752	0.275368875568876	5.48141674606706	3.65666714481465	0.999031400345001	13.5852058253917	1.29713539899478	26.1522912472227	14.9405402832836	1.02706247046572	9.0639488222489	15.0086978463737	5.83386693054862	4.47301696460492	4.21620765226953	5.01664633608932	12.039034840767	4.24996477662316	4.85780576367298	5.64369206701755	5.26769750165454	8.04923822412479	10.6575939954222	13.9836228927345	10.7092952130821	11.7068239118109	17.4394407392533	10.0441475169355	12.5764768163725	31.1582349438348	13.887077523662
Chlamydomonadaceae sp. KMMCC 179	0.701087068922927	0.0498282049751969	0.534094938877548	0.0484302461151777	2.96042525863461	136.527089650549	26.9575960036461	5.50438627980663	10.6336461456336	9.92854817837343	85.7090664936643	6.94074519746071	16.7043224153459	2.56793422402441	15.839259774173	18.278393482455	14.6480240051629	15.8554850289455	7.67649373575491	54.7570402913636	55.3528325949486	14.2688859944254	14.3959398014835	18.9273927349389	0.519133352509951	11.3210151264339	18.5656295929631	13.6342392722665	15.2534179670262	19.5041345448814	3.0870974181247	9.32913372954132	5.26427848712649	28.7186361913613	31.7323256213308	11.265075855071	50.5075106123346	27.2942752185189	44.0334965228107	15.89147032081	17.8840295964719	26.04843357639	29.6321718321342	22.3411954410878	13.0068510639439	22.8677572767839	21.2266823460771	24.1982863903047	27.1551838658299	22.7000304546026	19.6415503075643	27.9833230021538	18.7305646552671	17.3385111894072	13.9359547781279	16.0451606249245	22.3237973376137	9.02842688041813	18.5890476602406	20.575291641933
Chlamydomonadaceae sp. MCWWS30	0.163560396512728	0.277321482813572	0.116821601264326	0.184523044641907	3.7230421087708	64.7915849008491	21.2793154132131	13.6622246343313	9.83558202784228	14.0389419602781	55.3308579193876	22.6593156147341	5.36186212323336	6.02971606043002	4.02794550657062	1.99016288804728	4.40352078299405	5.3129774596601	19.181104922447	1.93344148878289	2.46295393933881	35.8450864095497	6.10574513023104	7.77802341021504	0.327396825396825	14.708605725118	8.39330148871123	1.52892678645846	3.40337735822525	9.20216040839373	3.08397233246155	3.03124076865305	8.13939531950729	13.0251303875095	9.02352976424458	21.7074018635351	15.1552503994267	28.0420384821471	16.7423715851938	15.5688077399335	29.4196561968134	39.506475347221	17.7005784328911	13.796085222012	4.48392277726725	23.1836399115578	13.6530693138446	19.4045721474959	15.6451955883472	16.7860786042938	13.6301337065301	19.5382506352094	19.6503500198443	14.5757540407763	13.8307284346342	13.4635278808339	23.6631608354326	10.9517960630209	26.9864256504674	27.1907372556846
Chlamydomonadales sp. LBA 48	0.505684556873512	0.12684392228527	0.366271047764169	0.102345452288743	5.09405191677688	101.642874400807	19.7619467251039	9.50290517829985	11.2254498647128	21.3020997828306	45.4335635919931	10.0012250691014	5.89314416815659	4.10073998928015	4.46563537396465	3.8528313924236	4.49482103550513	5.23243475782122	25.3258255675954	9.00632217688022	8.01319621134757	20.8883852651182	5.55033672757138	5.3094952280715	0.476158940725203	5.38593791235872	7.29294700248906	2.2755244999286	4.96558263527453	7.39446537617325	2.83734339084604	11.5974360562167	4.51962875773768	11.5848241179095	7.71394359660665	28.0809943165848	24.6610206423763	27.7403131692102	20.5478647820738	30.0104727442234	37.1463594096653	47.1639945165623	34.7460223462432	13.953865446284	6.87937039753495	21.7278099517451	14.0973198845302	23.2686193511713	48.3708427494434	34.520393571581	26.637996122348	51.8528630874402	22.1534543933942	21.1126870387644	19.9332409014326	20.5119972168881	26.1444735253187	19.4040137761951	30.5485364484851	37.6203089727386
Chlamydomonas reinhardtii	0.655254272226043	0.131065509814963	0.100434782608696	0.233294317103315	1.38779581529582	7.39920585720717	0.194498449991756	8.85310052204996	10.4857019325834	4.52021407074312	19.5501726946819	1.10441883226739	1.13241206123771	0.44232173647381	1.52582328590559	1.19469785967272	1.25632303424143	1.04284072826354	4.3098099634958	1.11117354988178	1.07952647252469	1.46544701633152	0.940855308917317	1.59547794346228	0.436306464108515	1.07282117384048	1.28419804683535	1.04305338805334	1.28863093816435	0.923998353117885	0.254858543417367	12.3973490716779	5.42259727554354	6.58475789258972	6.20867950616706	6.04200730553585	6.4608924284498	4.10281836440843	13.3501899700969	27.6623120648305	10.2801488532566	9.31068289530355	8.99299388603967	3.97211301519871	0.373660085931311	4.48169602863801	8.92818479297008	1.0486870942073	3.860375183279	2.43283747255915	3.14094207749224	3.25407216039564	3.51983292585163	3.90596007236097	2.65657050409545	3.90323237663088	5.78982450152235	8.27487004528087	3.35877288356501	2.85359613244685
Chlamydomonas sp. CCAP 11/139	0.852217088764916	0.132399974217432	0.712142708240269	0.17141182788483	0.996847352647353	45.4101811094569	2.11349583205929	26.6013974296784	18.4752525511976	3.83223784243657	21.6853993136016	3.99239749139222	15.964224343819	15.3991011733067	15.9720721047364	16.6156631276477	16.0125374123241	17.2014200237103	20.4306366894327	15.7705290450284	15.4101132865241	15.3591029333211	3.25476758978124	2.42707482234949	1.05779266779288	9.23220856630285	3.19611225383722	1.66665969323967	2.47185406168402	3.47968352706937	0.354362370962371	8.78525787872097	7.30600159646375	13.4548978611237	12.3012011381498	8.09955499441197	23.4944318979168	13.4080552265122	17.989173942845	40.1346942399808	18.9659413525792	9.99055709354243	8.10683843524229	4.58245621619915	6.83703915497466	14.4679120375252	7.87611516847121	10.1616166371445	13.4271418993104	10.351624483444	12.353070343298	12.4683958213349	16.4095736092964	15.8846026801342	16.2522902587974	15.2352652102339	8.99248012937413	15.5243071743539	24.9118946816113	10.9712739042078
