Taxa	MeanSEDI	sdSEDI	MeanTSS	sdTSS	Substrate	Site	River_Bottom	Biofilm	Habitat	Depth	Features	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	grtgroup	soil pH in H20	soil organic carbon	soil sand	soil clay	soil bulk density	elevation	slope	aspect	gHM	NDVI	EVI	NBRT	greenness	landcover	impervious	percent_tree_cover	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12
Bos taurus	0.263627296602576	0.160198545313267	0.0199605996974418	0.168027254583835	1.46849644069381	24.7374813168551	2.69968303801009	0	6.87737320299109	4.41786222029462	26.482770543392	1.44299664175575	6.32866701824238	2.59436480977817	6.93758737918357	5.85428592594687	6.53247375374415	6.50745941491999	1.47941569323616	6.30940467613086	6.96457731670138	1.7882591197103	7.07614478471854	6.54638304124923	0.423717755552415	2.0309584646804	5.95094108887022	4.30500025949238	6.07066011322912	6.28973364353485	0.606454515069758	3.70950190871415	4.15312550711998	11.8745237214709	6.34533412729558	6.47173354229896	15.0473020244803	24.4380309774303	4.08796380633464	2.71686546782629	13.0427303145128	16.0248788832157	13.1277709840292	12.8009222946085	3.90055932350243	5.97637036231838	20.7999949317385	15.2765036948118	12.4688779968086	10.7980557526528	9.84384871511979	14.4287418073308	13.0627469372936	10.9551664245245	12.0326658444119	12.1059305282635	14.3276330895318	7.7939676369255	11.257936070245	17.9577635598989
Canis lupus	0.106078764299829	0.200329550345999	0.0766331849771783	0.123382932335046	3.47968520802405	59.4399374906737	5.4824425005574	0	14.7588834063893	9.48929546967797	69.7844912079841	9.43908834013034	8.10569096804573	5.39502374507158	8.41711342117077	13.9665301848319	6.98194570933351	8.8761602593259	8.48736428985566	10.3093261173052	9.25879585370968	7.94004953982201	13.4240257898515	16.883736277998	0.9517416130513	5.33114142717084	13.1690706479902	5.38833119432789	9.46025521014734	15.1325429882196	0.624088601208141	9.59579215002142	6.16837760368154	19.8880930596425	24.0069476369262	11.010645588156	23.6338682516022	19.5267428053631	22.1496451763654	7.0338694754062	12.8658048064017	20.1889932721838	14.2570640296501	32.2685746886553	13.081750860527	16.4380748339447	19.1901382840994	15.2095172382126	10.8798197745136	11.845951971822	11.38254524048	17.8971024355799	29.243422131043	14.4470904211812	16.529995019898	18.0935472156737	11.6178996216651	4.33636804267062	14.2108496263219	19.2244777610644
Didelphis virginiana	0.106597515109518	0.266274008061925	-0.0907210763093116	0.0967658570910317	6.64617333738767	36.3399642272613	3.17432350323854	0	11.3847519399777	18.5407476340143	50.6927244903564	1.79311739983637	2.36301787512607	0.878835232622168	2.17709957630375	2.94236908058126	2.1235181519461	2.84370760619554	3.24071956390377	2.42811561774327	2.11504240873777	2.70116096865846	3.10335690006758	3.67682714343712	0.185950793650794	1.42902698472196	2.54212958686016	0.724967953580028	2.03978247347744	2.97014826067127	1.59106277934345	5.94652677947763	3.23258710183988	16.2436270281865	8.96186577332867	13.7819899856042	10.1194538406037	51.6435942902999	9.05135514244016	8.36178632621038	13.2024325319594	18.142623136098	12.568476576088	17.2519563498252	9.44123156563992	14.0446576610276	10.6157433649629	13.5866328229456	12.6511791007689	13.4233652480582	22.009576707334	27.2518824320709	18.4445907864966	13.3559964866183	13.522881404997	16.3328029418755	10.5376899128709	6.07777981182346	20.9481278065629	21.4075678165077
Fulica americana	0.700237846345464	0.0312433127107437	0.116666666666667	0.264575131106459	0.45483189033189	7.22880377318195	0.259807936507936	0	1.13042814601981	1.33772414252414	9.64838911625346	0.405904273504273	4.01255577886114	0.170869463869464	3.94869513887909	3.74437820174405	3.29361461513541	4.1859005588763	0.60627619047619	4.07602291261307	3.96399042083291	0.134724675324675	3.07118819454917	3.6544135985403	0.0133333333333333	0.316055677655678	3.37064035662525	2.49986436219054	2.47318927942304	4.52346992821755	0.467146073877781	3.80266960216724	3.8163387137111	4.35791433641519	12.6876052872954	7.34544285565864	6.94497032169972	1.38806162206969	1.43743011306362	0.519051381951382	1.53613116433116	5.88092104568894	1.35572262182262	1.91612142827932	1.08511319117374	1.73463297863043	3.45984675324675	3.40650843781555	6.07458495679517	7.3938407718529	7.10042668258817	6.36505732576836	7.88206008955686	7.6352226193646	7.2403701823775	7.81213455746934	4.70438842420267	0.819538663091295	7.74482224261173	7.86507004016888
Gallus gallus	0.145188643431184	0.197919539793815	0.0932015721733464	0.119945875875114	20.6801125034481	49.1645346034941	2.94646227502096	0	21.0567531293865	24.6775360460336	61.0136268242869	2.29005297580016	6.4054762965556	1.16805240081471	3.31657380192318	4.29584654734922	6.38650069199728	7.13532477690203	4.14557691373205	3.96351898054811	3.3478502171309	7.86144962283432	4.84073209059853	4.76705815602842	0.0735111111111111	2.57810766099162	4.22794634294093	1.77938392600824	2.842146994621	4.56461996995547	7.79964547247588	4.83156997363779	6.51347545269101	7.20899314634056	5.11090928728576	12.2558606922738	14.1987988812142	28.1906999737601	25.0573729270395	8.38796038984135	21.8321364474854	32.45146887807	16.911163552859	20.6945485842818	6.01258956449665	7.2088896081096	19.0221633993329	14.3234157887929	14.2378107193056	15.1550663544335	21.2766532068667	24.1862438078509	23.2209382971342	18.8547885701076	18.3624149580006	19.9040255387301	30.7807367583621	15.0683769790046	35.9107842069321	25.1296945174213
Lepomis cyanellus	0.353294574713993	0.255250436123067	0.121637456784516	0.211275093481165	8.19104915770709	42.9521596597235	1.58401808209746	0	16.2011923173642	18.0177659968811	35.7249057934103	3.44393976071013	2.17084834348111	4.84259666188972	3.45400106565346	3.82579505434674	2.16513383288651	3.45341799812042	4.60323795947784	2.26433175514391	2.43383558541934	5.69179191021939	6.23595544608445	4.63715310744778	0.137209135309135	3.95271521729571	5.15993468844597	0.898362172861663	1.6173177126843	7.35396634947937	0.943171052166308	10.7647503896273	2.59189298918429	14.7188043576182	5.90987167555337	17.9342810727088	9.1250856867468	22.5629862010351	19.8682372120217	5.61399570843416	18.4565646214829	16.045910068444	25.4942971105899	13.7679177946774	12.5273040812976	14.8733665426109	27.9826954434146	10.7800916494648	12.533093983919	15.0489329983291	8.98932102774797	15.2383323113439	13.5150511701364	14.5104696463738	13.4789948681499	17.9184487958918	12.2761018070748	7.66818635362094	11.2596205772779	13.3066134357411
Misgurnus anguillicaudatus	0.616168755147369	0.15378803159055	0.437430626114837	0.272247035854643	2.45831416076035	41.2144219407523	1.58509708222758	0	0.689476144735897	5.63468275219835	37.2018089521831	13.8778782155198	1.95597186739623	0.478409070463767	2.73223286966488	0.668137887895291	1.42816330437235	1.47904113219334	8.72331875031674	0.875083985886082	1.0317767719179	10.4201202490364	1.53731444142862	3.57793743197517	0.0892745614035088	16.5900025939601	5.00293099425649	0.362602149202149	2.18902417843119	2.95390263251378	0.547235156238703	9.04794737099792	2.71519484932734	8.17796920935427	12.080531104375	19.4231196181827	8.42845074461842	13.761068159058	17.7349973690733	9.67012098843636	9.46357708371014	17.6315031335305	11.3499296044694	10.082758182314	0.832246143570911	7.16125921747175	16.1680652362387	21.492959734507	17.4614056410454	9.22477524097836	7.69820114976805	12.9055426438612	17.0196079059389	10.2928591757025	9.38398497689799	13.3481851451549	10.0900175721965	4.75075403967564	10.3954881540417	7.41200112655267
Mus musculus	0.55737190184829	0.133742647632868	0.157470000364737	0.253574247656926	3.69574334757287	21.5102025076438	0.150975137710586	0	9.74543087489825	7.48786706387152	27.3430759875247	1.23822817517359	2.74760804135047	0.548361155511155	2.38343277899339	3.9822209489068	2.20029705038959	3.13058059891577	3.05083816059379	3.05740524246805	3.5270049402639	2.58282037160958	4.00425118946468	3.62109927230506	0.00533333333333333	1.03439917854564	4.27651726199323	1.18636844411475	1.74878710326143	3.905215942534	0.476604188084527	7.8496386860306	3.62624026271278	20.5252809907922	22.4449780508405	6.84497449664445	6.77399350544998	15.1251493113084	10.7424289723405	4.90768779294713	3.81000088301655	5.0915593612666	6.55485974506926	10.0941282738704	5.61376051013238	14.8299280984681	5.40718756172502	6.68172531764276	3.98325769664317	5.42846405597902	5.49126914285131	9.01823574345345	11.8264816318954	7.28348168443607	8.78437664443073	10.8165503300298	7.48270611357161	2.06836037109941	5.87625566068404	5.26528985525292
Neotoma macrotis	0.0827710851160302	0.0670001230292181	-0.0533419133419133	0.108541650816169	2.64208769739033	24.8648582091564	3.15887169290272	0	3.77137983455844	10.3278160611901	43.6985416503173	2.45205553641452	3.94597817014868	1.84263366377792	4.66652292651557	3.64649680461603	3.47262566843593	4.68656674989445	3.77871280214159	2.5125691097475	2.93496088622648	3.63442813529248	4.05124035357091	3.90996857996307	0.743622969169386	3.27104482564215	4.26883531084657	1.36039809750436	2.13438457051868	4.16250140943447	2.87507626318021	2.45904241989078	1.87930319156065	6.31487113760199	3.30707172038325	7.50288167641689	16.102529762415	22.3911340415651	6.53006832161318	3.54811755340682	11.3646841737307	22.3824213438325	21.7938539742379	12.0128129014702	8.3107520014174	8.2859748386067	6.31381791530743	18.8196017028281	17.6102477273836	18.159114268661	22.0119019387955	28.472877011201	14.9985175190227	13.3043835215153	11.3560949003577	11.0781342298076	12.1195461791722	7.39201399682745	13.0440086103751	20.1073545531512
Pimephales promelas	0.354810969911321	0.114900922905939	0.112129987129987	0.208112973537013	27.0510901948167	30.792364920855	0.620144685912642	0	7.02774614898032	21.5690462170738	43.9999955359271	8.63227274316596	4.25122192506733	0.420265541885016	3.68946994325922	0.958988372735965	3.55933215996243	4.53372886804033	9.97069713090062	1.29055787534789	1.33047458989372	11.4719163956961	2.07853266025686	3.41002555137658	0.0494222222222222	5.30670173888798	3.05311728384786	0.995520777556831	1.57353429406259	3.63599059465422	1.35992862057914	4.92211655594707	5.00790642795263	8.13335580467993	6.7498876153298	10.1474615797461	7.11633730407663	16.6069884030614	17.6375676784206	9.35666839504916	15.5110262486578	14.1140949450065	15.3614621459485	16.1692628513971	1.34292976789293	8.88593281147493	30.1639463294418	12.114238760278	10.6341927523478	9.45780184903948	7.251367143348	10.743364337246	15.7686302534934	10.23240595104	7.54311681758364	9.15685497079865	14.8409945443899	8.47757538035952	12.3069932731008	7.21990390479925
